CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
27015330,OLAYA HERRERA - AUT [27015330],6.22,-75.59,1490,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-12-30 00:00,18.9,50,,900
27015330,OLAYA HERRERA - AUT [27015330],6.22,-75.59,1490,Sinóptica Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,12/05/2014 00:00,,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-12-31 00:00,18.7,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-01 00:00,15.7,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-02 00:00,14.4,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-03 00:00,14.5,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-04 00:00,14.8,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-05 00:00,14.7,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-06 00:00,14.5,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-07 00:00,13.8,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-08 00:00,13.8,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-09 00:00,13.5,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-10 00:00,14.9,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-11 00:00,14.7,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-12 00:00,14.3,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-13 00:00,16,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-14 00:00,15.3,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-15 00:00,15.8,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-16 00:00,14.9,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-17 00:00,14.7,50,,900
27015290,PAJARITO - AUT [27015290],6.2863333330,-75.61279167,1952,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Medellín,17/11/2005 00:00,06/01/2016 00:00,TEMPERATURA,TA2_MN_D,Temperatura del Aire a 2 metros mínima diaria,Diaria,2014-01-18 00:00,15.2,50,,900
