Codigo;p;t;pa
25027860;0.0;0.0;0.0
25021200;0.0;0.0;0.0
13077010;0.0;0.0;0.0
28010200;0.0;0.0;0.0
25027540;0.0;0.0;0.0
25028150;0.0;0.0;0.0
25028320;0.0;0.0;0.0
13070030;0.0;0.0;0.0
29065070;0.0;0.0;0.0
24015512;0.0;0.0;0.0
28010380;0.0;0.0;0.0
29065060;0.0;0.0;0.0
15060260;0.0;0.0;0.0
29065040;0.0;0.0;0.0
29065050;0.0;0.0;0.0
29060280;0.0;0.0;0.0
29060160;0.0;0.0;0.0
29067070;0.0;0.0;0.0
15067200;1.0;0.0;0.0
29045190;1.0;1.0;1.0
15067150;1.0;0.0;0.0
29060310;0.0;0.0;0.0
25020760;0.0;0.0;0.0
25020660;0.0;0.0;0.0
15060060;0.0;0.0;0.0
15067080;0.0;0.0;0.0
15060050;0.0;0.0;0.0
15060190;0.0;0.0;0.0
15060290;0.0;0.0;0.0
15067290;0.0;0.0;0.0
14010100;0.0;0.0;0.0
29047080;0.0;0.0;0.0
35107040;1.0;0.0;0.0
29040230;0.0;0.0;0.0
15067170;0.0;0.0;0.0
29040450;0.0;0.0;0.0
15067130;0.0;0.0;0.0
15060030;0.0;0.0;0.0
15065020;0.0;0.0;0.0
29045100;0.0;0.0;0.0
21205710;1.0;1.0;1.0
29060210;0.0;0.0;0.0
29060120;0.0;0.0;0.0
21205910;1.0;1.0;1.0
23195180;0.0;0.0;0.0
12010090;0.0;0.0;0.0
12010080;0.0;0.0;0.0
21097120;1.0;0.0;0.0
27040030;0.0;0.0;0.0
23190500;0.0;0.0;0.0
12010010;0.0;0.0;0.0
16025030;0.0;0.0;0.0
16027010;0.0;0.0;0.0
23180100;0.0;0.0;0.0
23187280;0.0;0.0;0.0
27030060;0.0;0.0;0.0
13017050;0.0;0.0;0.0
12017080;0.0;0.0;0.0
23190150;0.0;0.0;0.0
13017030;0.0;0.0;0.0
26250090;0.0;0.0;0.0
16020390;0.0;0.0;0.0
25010060;0.0;0.0;0.0
12010050;0.0;0.0;0.0
26247010;1.0;0.0;0.0
23190810;0.0;0.0;0.0
12015070;0.0;0.0;0.0
16010010;0.0;0.0;0.0
12015020;0.0;0.0;0.0
12017030;0.0;0.0;0.0
12017050;0.0;0.0;0.0
25027600;0.0;0.0;0.0
25028380;0.0;0.0;0.0
26240060;0.0;0.0;0.0
25028390;0.0;0.0;0.0
25028400;0.0;0.0;0.0
12045020;1.0;1.0;1.0
25020670;0.0;0.0;0.0
25027850;0.0;0.0;0.0
25021270;0.0;0.0;0.0
25021180;0.0;0.0;0.0
25028100;0.0;0.0;0.0
25027320;0.0;0.0;0.0
25021380;0.0;0.0;0.0
25028160;0.0;0.0;0.0
13070330;0.0;0.0;0.0
25028070;0.0;0.0;0.0
25028110;0.0;0.0;0.0
25028090;0.0;0.0;0.0
25021090;0.0;0.0;0.0
25028340;0.0;0.0;0.0
25021290;0.0;0.0;0.0
25021330;0.0;0.0;0.0
25020890;0.0;0.0;0.0
25027550;0.0;0.0;0.0
25027720;1.0;1.0;0.0
13017020;0.0;0.0;0.0
13025020;0.0;0.0;0.0
13070210;0.0;0.0;0.0
13070310;0.0;0.0;0.0
13070300;0.0;0.0;0.0
13077220;0.0;0.0;0.0
13077260;0.0;0.0;0.0
16070020;0.0;0.0;0.0
13075010;0.0;0.0;0.0
29060080;0.0;0.0;0.0
15067010;0.0;0.0;0.0
15067160;0.0;0.0;0.0
15060040;0.0;0.0;0.0
29045120;0.0;0.0;0.0
15060090;0.0;0.0;0.0
15067090;0.0;0.0;0.0
15060280;0.0;0.0;0.0
15010070;0.0;0.0;0.0
15065110;0.0;0.0;0.0
15067140;0.0;0.0;0.0
15030040;0.0;0.0;0.0
15030050;0.0;0.0;0.0
15065170;0.0;0.0;0.0
15067040;0.0;0.0;0.0
15060210;0.0;0.0;0.0
15067110;0.0;0.0;0.0
15010310;0.0;0.0;0.0
15065100;0.0;0.0;0.0
15060120;0.0;0.0;0.0
15060160;0.0;0.0;0.0
15010030;0.0;0.0;0.0
15080100;0.0;0.0;0.0
14019040;0.0;0.0;0.0
15010160;0.0;0.0;0.0
15015110;0.0;0.0;0.0
15060200;0.0;0.0;0.0
35035110;1.0;1.0;0.0
15010140;0.0;0.0;0.0
15030030;0.0;0.0;0.0
15040020;0.0;0.0;0.0
11057020;1.0;0.0;0.0
23190110;0.0;0.0;0.0
16025010;0.0;0.0;0.0
16027310;0.0;0.0;0.0
16020520;0.0;0.0;0.0
11135010;0.0;0.0;0.0
13027030;0.0;0.0;0.0
23187060;0.0;0.0;0.0
16010190;0.0;0.0;0.0
26240100;0.0;0.0;0.0
12010060;0.0;0.0;0.0
16020030;0.0;0.0;0.0
23205050;1.0;1.0;1.0
12010070;0.0;0.0;0.0
25010010;1.0;1.0;1.0
16020010;0.0;0.0;0.0
16020280;0.0;0.0;0.0
16020190;0.0;0.0;0.0
12010160;0.0;0.0;0.0
13017010;0.0;0.0;0.0
23200020;0.0;0.0;0.0
12017060;0.0;0.0;0.0
13025030;0.0;0.0;0.0
23197080;0.0;0.0;0.0
16027100;0.0;0.0;0.0
25021000;0.0;0.0;0.0
15015060;1.0;1.0;1.0
25021260;0.0;0.0;0.0
25027690;0.0;0.0;0.0
25020990;0.0;0.0;0.0
25021040;0.0;0.0;0.0
25020270;0.0;0.0;0.0
25027140;0.0;0.0;0.0
25028060;0.0;0.0;0.0
25027710;0.0;0.0;0.0
16050140;0.0;0.0;0.0
16010170;0.0;0.0;0.0
13077160;0.0;0.0;0.0
25028050;0.0;0.0;0.0
25021580;0.0;0.0;0.0
25027080;0.0;0.0;0.0
13070430;0.0;0.0;0.0
25020250;0.0;0.0;0.0
13077170;0.0;0.0;0.0
25020900;0.0;0.0;0.0
13077060;1.0;0.0;0.0
13077030;0.0;0.0;0.0
13077210;0.0;0.0;0.0
13077250;0.0;0.0;0.0
13077270;0.0;0.0;0.0
13087010;0.0;0.0;0.0
25027920;0.0;0.0;0.0
25025110;0.0;0.0;0.0
25028440;0.0;0.0;0.0
15060130;0.0;0.0;0.0
25027680;0.0;0.0;0.0
25021030;0.0;0.0;0.0
25021340;0.0;0.0;0.0
15015050;0.0;0.0;1.0
15060180;0.0;0.0;0.0
15010010;0.0;0.0;0.0
15067060;0.0;0.0;0.0
13080020;0.0;0.0;0.0
13080040;0.0;0.0;0.0
25027840;0.0;0.0;0.0
15067100;0.0;0.0;0.0
15067030;0.0;0.0;0.0
15060110;0.0;0.0;0.0
15060270;0.0;0.0;0.0
15037010;0.0;0.0;0.0
15037030;0.0;0.0;0.0
15065120;0.0;0.0;0.0
15060140;0.0;0.0;0.0
15067070;0.0;0.0;0.0
15065090;0.0;0.0;0.0
15017010;0.0;0.0;0.0
15010100;0.0;0.0;0.0
15065030;0.0;0.0;0.0
15010200;0.0;0.0;0.0
15010190;0.0;0.0;0.0
15040030;0.0;0.0;0.0
15015010;0.0;0.0;0.0
15010501;0.0;0.0;0.0
15065060;0.0;0.0;0.0
15017050;0.0;0.0;0.0
15010240;0.0;0.0;0.0
15040010;0.0;0.0;0.0
15047010;0.0;0.0;0.0
15085030;0.0;0.0;0.0
21167060;1.0;0.0;0.0
15060020;0.0;0.0;0.0
15010170;0.0;0.0;0.0
21127030;1.0;0.0;0.0
27030040;0.0;0.0;0.0
16030090;0.0;0.0;0.0
12015050;0.0;0.0;0.0
13020020;0.0;0.0;0.0
16055030;0.0;0.0;0.0
12010120;0.0;0.0;0.0
16015501;1.0;1.0;1.0
12010100;0.0;0.0;0.0
16027110;0.0;0.0;0.0
12010140;0.0;0.0;0.0
13010020;0.0;0.0;0.0
16027090;0.0;0.0;0.0
16027130;0.0;0.0;0.0
12015040;0.0;0.0;0.0
12010180;0.0;0.0;0.0
13035010;0.0;0.0;0.0
16020300;0.0;0.0;0.0
16030080;0.0;0.0;0.0
23200010;0.0;0.0;0.0
27015260;0.0;0.0;0.0
35250010;0.0;0.0;0.0
23080750;0.0;0.0;0.0
24030570;0.0;0.0;0.0
26200120;0.0;0.0;0.0
23080650;0.0;0.0;0.0
24010110;0.0;0.0;0.0
36020010;0.0;0.0;0.0
27015160;0.0;0.0;0.0
23127080;0.0;0.0;0.0
24010790;0.0;0.0;0.0
36027010;0.0;0.0;0.0
24010760;0.0;0.0;0.0
26210080;0.0;0.0;0.0
24030860;0.0;0.0;0.0
11050030;0.0;0.0;0.0
11050060;0.0;0.0;0.0
24035320;0.0;0.0;0.0
23127060;1.0;0.0;0.0
36020020;0.0;0.0;0.0
24017710;0.0;0.0;0.0
24010770;0.0;0.0;0.0
37045010;1.0;1.0;1.0
26155170;1.0;1.0;1.0
24020040;0.0;0.0;0.0
24030670;0.0;0.0;0.0
24030580;0.0;0.0;0.0
23080820;0.0;0.0;0.0
35257030;0.0;0.0;0.0
11070130;0.0;0.0;0.0
23080910;0.0;0.0;0.0
23087300;0.0;0.0;0.0
23085010;0.0;0.0;0.0
24010650;0.0;0.0;0.0
24020220;0.0;0.0;0.0
23085220;0.0;0.0;0.0
26200140;0.0;0.0;0.0
23087260;0.0;0.0;0.0
23080640;0.0;0.0;0.0
35250040;0.0;0.0;0.0
23107040;0.0;0.0;0.0
23147020;0.0;0.0;0.0
11115040;0.0;0.0;0.0
23127070;0.0;0.0;0.0
38015020;0.0;0.0;0.0
23105030;0.0;0.0;0.0
26230220;0.0;0.0;0.0
24055030;0.0;0.0;0.0
37010050;0.0;0.0;0.0
11090010;0.0;0.0;0.0
27020220;0.0;0.0;0.0
24030270;0.0;0.0;0.0
24030210;0.0;0.0;0.0
23100030;0.0;0.0;0.0
24035400;0.0;0.0;0.0
27015200;0.0;0.0;0.0
23137020;0.0;0.0;0.0
24037350;0.0;0.0;0.0
36030040;0.0;0.0;0.0
11115030;0.0;0.0;0.0
24035270;0.0;0.0;0.0
26230200;0.0;0.0;0.0
38017010;0.0;0.0;0.0
11110030;0.0;0.0;0.0
23155040;0.0;0.0;0.0
35250020;0.0;0.0;0.0
27010770;0.0;0.0;0.0
23087670;0.0;0.0;0.0
35257040;0.0;0.0;0.0
24030370;0.0;0.0;0.0
23110060;0.0;0.0;0.0
23115020;0.0;0.0;0.0
27010810;0.0;0.0;0.0
26227010;0.0;0.0;0.0
23080800;0.0;0.0;0.0
24035250;1.0;1.0;1.0
12015060;1.0;1.0;1.0
23085110;0.0;0.0;0.0
26210140;0.0;0.0;0.0
35257020;0.0;0.0;0.0
23125130;0.0;0.0;0.0
23097040;0.0;0.0;0.0
23085130;0.0;0.0;0.0
23080490;0.0;0.0;0.0
23080930;0.0;0.0;0.0
23080400;0.0;0.0;0.0
35060240;0.0;0.0;0.0
26217040;0.0;0.0;0.0
11057010;0.0;0.0;0.0
23120090;0.0;0.0;0.0
11050010;0.0;0.0;0.0
24030240;0.0;0.0;0.0
24030850;0.0;0.0;0.0
36020030;0.0;0.0;0.0
24015250;0.0;0.0;0.0
27015502;0.0;0.0;0.0
26180250;1.0;1.0;1.0
24035010;0.0;0.0;0.0
24020230;0.0;0.0;0.0
23080810;0.0;0.0;0.0
23087480;0.0;0.0;0.0
36027040;0.0;0.0;0.0
23097050;0.0;0.0;0.0
56015010;1.0;1.0;1.0
27011110;0.0;0.0;0.0
24010240;0.0;0.0;0.0
24025050;1.0;1.0;1.0
23080720;0.0;0.0;0.0
11077020;1.0;0.0;0.0
36027050;0.0;0.0;0.0
24020120;0.0;0.0;0.0
24017520;0.0;0.0;0.0
36027030;0.0;0.0;0.0
27015270;0.0;0.0;0.0
24020210;0.0;0.0;0.0
24020030;0.0;0.0;0.0
27015210;0.0;0.0;0.0
24027050;0.0;0.0;0.0
24015300;1.0;1.0;1.0
26210090;0.0;0.0;0.0
23125120;0.0;0.0;0.0
23085160;0.0;0.0;0.0
27011120;0.0;0.0;0.0
27015090;0.0;0.0;0.0
24011070;0.0;0.0;0.0
11075020;0.0;0.0;0.0
24035330;0.0;0.0;0.0
27010060;0.0;0.0;0.0
11070020;0.0;0.0;0.0
26205080;0.0;0.0;0.0
23080730;0.0;0.0;0.0
23120180;0.0;0.0;0.0
11070040;0.0;0.0;0.0
24030280;0.0;0.0;0.0
23085210;0.0;0.0;0.0
24015260;0.0;0.0;0.0
24010230;0.0;0.0;0.0
35095130;1.0;1.0;1.0
27010820;0.0;0.0;0.0
24030660;0.0;0.0;0.0
23085030;0.0;0.0;0.0
26217060;0.0;0.0;0.0
27010780;0.0;0.0;0.0
24020160;0.0;0.0;0.0
24010220;0.0;0.0;0.0
11075010;0.0;0.0;0.0
26205040;0.0;0.0;0.0
