0,1,2
23085270,-75.426,6.169
2311700155,-74.594969444,5.980258333
2125700094,-75.042583333,4.873833333
26065502,-76.57916667,2.750555556
21235030,-74.80811111,4.305333333
2401500052,-73.726666667,5.796416667
35107040,-73.04651944,4.689094444
35027510,-73.863083333,4.6645
21115180,-75.08152778,3.133055556
1501500054,-74.059786111,11.230522222
35025090,-73.84663889,4.664888889
26225060,-75.82733333,6.533916667
35025080,-73.82733333,4.661
35035130,-73.80325,4.713666667
29035080,-74.95463889,10.45358333
21206980,-73.87080556,4.784277778
14015010,-75.26055556,10.79416667
21206950,-73.52508333,5.236055556
46015030,-74.76269444,2.063
28047050,-73.95880556,9.930972222
12015110,-76.69405556,7.671138889
29015040,-75.10641667,9.71575
21206790,-73.88125,5.0905
2802500079,-73.731666667,10.088694444
52055210,-77.27880556,1.16
25025280,-75.28925,9.357083333
2901500072,-75.236458333,9.672419444
21206930,-74.02216667,5.086444444
12015060,-76.66575,7.773944444
23125170,-74.016666667,5.333333333
52055170,-77.49119444,0.930305556
29065120,-73.92777778,10.46536111
44037040,-75.66638889,1.72525
24015110,-73.85175,5.303805556
12017020,-76.71055556,7.571583333
52055150,-77.38880556,0.843111111
21015050,-76.42755556,1.925916667
29067150,-74.12666667,10.57491667
29067060,-74.13333333,10.5
52055220,-77.63688889,1.070611111
3701500117,-72.790291667,7.056497222
44037080,-75.72497222,1.497333333
21206600,-74.09433333,4.782222222
25025340,-75.14269444,8.596833333
21015070,-76.106841,1.675833
21015060,-76.11888889,2.221111111
12027010,-76.52466667,8.204055556
15015120,-74.18591667,11.22305556
21015040,-76.11433333,2.021583333
5102500128,-77.9765,1.157833333
22057060,-75.46697222,3.481361111
23065190,-74.48125,5.137611111
25017030,-75.68027778,8.030277778
26135330,-75.4125,4.776361111
2501500120,-75.851580556,7.730194444
26155260,-75.36161111,4.840666667
29065130,-74.13333333,10.85
37017040,-72.63388889,7.203333333
24015503,-73.20760833,6.373027778
16015120,-72.66605556,7.360944444
47015100,-77.16147222,1.159944444
16025503,-72.83375556,7.923163889
26247050,-75.42005556,7.582527778
44015060,-76.65183333,1.157333333
16015130,-72.48536111,7.506722222
26155240,-75.38241667,4.859444444
11135030,-77.08786111,8.036722222
21055070,-76.06394444,2.548194444
26155250,-75.37583333,4.829805556
52045080,-77.28338889,1.225111111
21115170,-75.07455556,2.759138889
1501700160,-74.096905556,11.187080556
15015060,-74.05469444,11.11108333
25017010,-75.41733333,7.987972222
26135320,-75.38047222,4.802611111
15017030,-74.12291667,11.15891667
26247010,-75.37252778,7.796777778
52040050,-77.03052778,1.397
26255030,-75.44222222,7.157277778
2703700106,-74.804222222,7.561888889
24017600,-73.57025,5.878138889
35025110,-73.46791667,4.057361111
26135300,-75.74491667,4.761916667
16027300,-72.77113889,7.537194444
2615500122,-75.356583333,5.017777778
23105070,-74.79472222,6.571638889
16025040,-72.46861111,8.167777778
27015320,-75.560888889,6.781083333
27015310,-75.55211111,6.32975
16017010,-72.41722222,8.233611111
3701500114,-72.550275,7.401216667
16027060,-72.43472222,8.350277778
16040050,-73.21166667,7.934444444
54057010,-76.933,4.673
16035030,-72.80305556,8.076666667
26137220,-75.60344444,4.728194444
2702500107,-75.326019444,6.900555556
5205500123,-77.27025,1.054805556
16055120,-73.3975,8.227694444
16057030,-73.31825,8.197805556
25027240,-74.966,8.906
25027180,-74.768,9.039
29045000,-74.919,10.637
25010010,-75.68,7.89
15015100,-73.933,11.31
17025020,-81.358,13.36
11080010,-76.885,6.559
25027270,-74.773,8.102
21209200,-74.793777778,4.304888889
25027720,-73.773,9.134
23107020,-74.40694444,6.732194444
1303500074,-76.175416667,8.508777778
28045501,-73.57471944,10.42166667
21145080,-74.70294444,3.589777778
21215180,-75.24866667,4.418388889
21215190,-75.50036111,4.435666667
23087160,-74.86516667,6.507333333
21185090,-74.96047222,4.188138889
35167000,-72.884,5.545
22075050,-75.70083333,4.075805556
44035050,-75.661,1.499722222
22057010,-75.10327778,3.908388889
44035040,-75.64502778,1.733
4403700097,-75.682527778,1.784472222
35215020,-72.388,5.32
35217030,-72.455,5.438
21167060,-74.65694444,3.926666667
35217090,-72.584,5.567
21160260,-74.68830556,3.839777778
35217010,-72.41372222,5.369
35217060,-72.232,5.54
21255160,-74.83425,4.760722222
11035030,-76.628,5.285
35235040,-71.666,5.419
23037010,-74.66216667,5.469666667
2302500064,-75.143055556,5.265055556
35225030,-71.433,4.91
26085170,-76.49972222,3.4545
26055120,-76.53388889,3.378
54010010,-76.689,5.159
54027050,-76.666,5.117
11175000,-76.634,5.529
26075120,-76.18569444,3.314055556
26055110,-76.56930556,3.185361111
35057010,-73.29252778,4.396222222
29045190,-74.78,10.918
2403500083,-73.076847222,5.523033333
26155220,-75.51388889,5.048666667
23085080,-74.83669444,6.483583333
2403500081,-73.234922222,5.749661111
3502700090,-73.295536111,3.958169444
23195110,-73.16722222,7.025555556
44055010,-75.236,0.738
23190700,-73.06777778,6.993333333
21165501,-74.82982778,3.537155556
16025502,-72.78055278,7.739166667
29004520,-74.785,11.00638889
26187040,-75.55258333,5.721138889
35020300,-74.003,4.254
29035200,-75.12694444,10.49
29035000,-75.27827778,10.14258333
25025360,-73.97083333,9.046333333
35260050,-70.281,5.561
3206500058,-74.0063,3.518202778
32105080,-72.647,2.553
25025000,-74.08580556,9.911972222
28035060,-73.24805556,10.46361111
28037030,-73.23247222,10.38411111
28035070,-73.39241667,10.73213889
2801700088,-73.431166667,10.712111111
28025120,-73.04619444,10.02908333
24015380,-73.89833333,5.347222222
2301700089,-75.062055556,5.134277778
35197030,-72.568,5.18
35087020,-73.068,5.083
35080050,-73.053,5.096
35195020,-72.87,5.027
26125061,-75.766,4.455
23087190,-74.93825,5.998361111
21035501,-75.93224722,1.763191667
52035040,-77.34361111,1.6185
52025080,-77.12027778,1.962777778
52055090,-77.389,1.108
52050090,-77.5,1.055
5204700100,-77.265694444,1.199805556
44015070,-76.66711111,1.082888889
52050080,-77.392,1.094
21117110,-75.08555556,2.805583333
52050060,-77.3,1.099
26185050,-75.55627778,5.859583333
32075501,-74.08978611,3.51995
15085050,-71.21094444,12.08352778
1508500053,-71.345080556,12.339194444
23127020,-74.086,6.526
15067020,-73.008,10.908
21201200,-74.184,4.343
24017704,-74.282,4.308
26155505,-75.68555278,5.070275
21202180,-74.156,4.543
21206780,-74.317,4.617
16027280,-72.58138889,8.105277778
23195190,-73.066,7.1
21202240,-74.05,4.633
21206810,-74.233,4.55
21202200,-74.072,4.575
21201980,-74.05,4.567
15075501,-71.98288889,12.22430556
11115501,-76.03155556,6.748275
23157030,-73.876,7.060194444
52017030,-77.04666667,2.147777778
21015501,-76.19163889,1.777527778
21167080,-74.82644444,3.725194444
2120000104,-74.031,4.813
11017020,-76.418,5.412
21257120,-75.08980556,4.940194444
16017030,-72.474,7.694
21195501,-74.43527778,4.363052778
13057010,-75.979,8.499
23035030,-74.658,5.492861111
2120000105,-74.022,4.763
21137010,-74.936,3.85
57015010,-81.609,4.096
26125503,-75.9025,4.285
35027520,-73.833333333,4.661027778
21085501,-75.61144167,2.762997222
14017001,-75.741,10.235
56015040,-77.764,7.104
17017001,-81.689,12.599
2120700038,-74.149,4.562
25020520,-75.468,8.222
2120700037,-74.125,4.556
12015100,-76.69616667,7.94075
56125730,-75.430961111,4.62325
13095010,-75.667,9.383
21202210,-74.086,4.506
11105020,-76.977,7.154
21202250,-74.133,4.5
23117030,-74.16,6.733
