CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
21015040;LA PRIMAVERA - AUT;saladoblanco;huila;alto magdalena
5102500128;RESERVA NATURAL LA PLANADA - AUT;ricaurte;narino;mira
22057060;LA MURALLA - AUT;ataco;tolima;saldana
23065190;QUEBRADA NEGRA - AUT;quebradanegra;cundinamarca;medio magdalena
25017030;PICA PICA  - AUT;montelibano;cordoba;bajo magdalena- cauca -san jorge
26135330;LA LAGUNA DEL OTUN  - AUT;pereira;risaralda;cauca
2501500120;JUAN JOSE - AUT;puerto libertador;cordoba;bajo magdalena- cauca -san jorge
26155260;SENDERO LAGUNA VERDE  - AUT;villamaria;caldas;cauca
29065130;LA GRAN VIA - AUT;zona bananera;magdalena;bajo magdalena
37017040;PUENTE LOPEZ - AUT;chitaga;norte de santander;arauca
24015503;CONFINES  - AUT;confines;santander;sogamoso
16015120;UNIVERSIDAD DE PAMPLONA  - AUT;pamplona;norte de santander;catatumbo
47015100;EL ENCANO - AUT;pasto;narino;putumayo
16025503;GRAMALOTE  - AUT;gramalote;norte de santander;catatumbo
26247050;LAS CAMELIAS - AUT;taraza;antioquia;cauca
44015060;ACUEDUCTO MOCOA - AUT;mocoa;putumayo;caqueta
16015130;ALCALDIA DE HERRAN  - AUT;herran;norte de santander;catatumbo
26155240;PNN NEVADOS - AUT;villamaria;caldas;cauca
11135030;UNGUIA - AUT;unguia;choco;atrato - darien
21055070;INZA - AUT;inza;cauca;alto magdalena
26155250;PARAMO CONEJERAS  - AUT;villamaria;caldas;cauca
52045080;UNIVERSIDAD DE NARINO  - AUT;pasto;narino;patia
21115170;LA PLATA - AUT;neiva;huila;alto magdalena
1501700160;RIO MANZANARES ALERTAS - AUT;santa marta;magdalena;caribe - guajira
15015060;SAN LORENZO  - AUT;santa marta;magdalena;caribe - guajira
25017010;MONTELIBANO - AUT;montelibano;cordoba;bajo magdalena- cauca -san jorge
26135320;NEVADO SANTA ISABEL  - AUT;villamaria;caldas;cauca
15017030;MINCA  - AUT;santa marta;magdalena;caribe - guajira
26247010;PALMIRA HACIENDA  - AUT;caceres;antioquia;cauca
52040050;APONTE;el tablon;narino;patia
26255030;SANTA ISABEL VALDIVIA - AUT;valdivia;antioquia;cauca
2703700106;EL RETIRO - AUT;el bagre;antioquia;nechi
24017600;MONIQUIRA  - AUT;moniquira;boyaca;sogamoso
35025110;LA LIBERTAD - AUT;villavicencio;meta;meta
26135300;PNN QUIMBAYA - AUT;pereira;risaralda;cauca
16027300;PUENTE CAPIRA - AUT;cucutilla;norte de santander;catatumbo
2615500122;LA ESPERANZA ANDALUCIA - AUT;manizales;caldas;cauca
23105070;MACEO - AUT;yolombo;antioquia;medio magdalena
16025040;CINERA-VILLA OLGA;cucuta;norte de santander;catatumbo
27015320;ARAGON - AUT;santa rosa de osos;antioquia;nechi
27015310;METROMEDELLIN - AUT;bello;antioquia;nechi
16017010;AGUAS CLARAS  - AUT;cucuta;norte de santander;catatumbo
