Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
59,ISAGEN,-75.55897,6.21394,Medellin,Las Lomas No2,14 El Poblado,,,2013-04-12,Activa
60,Torre SIATA,-75.58870,6.25920,Medellin,Estadio,11 Laureles - Estadio,,,2012-03-07,Activa
61,Planta de Agua Bocatoma,-75.64300,6.11979,La Estrella,,,,San Miguel,2012-03-20,Activa
62,Gimnasio Cantabria,-75.64480,6.13736,La Estrella,,,,Pueblo Viejo,2012-03-03,Activa
63,Las Flores,-75.45019,6.24809,Guarne,,,,San Jose,2012-04-07,Activa
64,Ecoparque La Romera,-75.59793,6.11981,Sabaneta,,,,La Doctora,2012-08-29,Activa
65,I.E Las Lomitas,-75.60128,6.14311,Sabaneta,,,,Las Lomitas,2012-03-09,Activa
66,I.E San Andres (Sede El Socorro),-75.45209,6.41036,Girardota,,,,El Socorro,2012-05-09,Activa
67,I.E Juan Echeverry Abad,-75.61481,6.18534,Itagui,,,,El Pedregal,2012-03-16,Activa
68,Jardin Botanico,-75.56291,6.26925,Medellin,,04 Aranjuez,,,2013-02-01,Activa
69,Parque Biblioteca Espana,-75.54402,6.29499,Medellin,Santo Domingo Savio No. 1,01 Popular,,,2013-03-20,Inactiva
70,Indural Km6 Medellin-Bogota,-75.52334,6.32684,Copacabana,,,,Rodas,2012-06-25,Activa
71,CEFA,-75.56183,6.24651,Medellin,Boston,10 La Candelaria,,,2013-02-28,Activa
72,Jose Miguel de Restrepo,-75.51016,6.37745,Copacabana,,,,La Veta,2012-06-25,Activa
73,Ciudadela Educativa La Vida,-75.50472,6.34534,Copacabana,Cristo Rey,,,Cabuyal,2013-05-24,Activa
74,Edificio Gaspar de Rodas - Bello,-75.55855,6.33546,Bello,Centro,Comuna 04,,,2013-05-27,Activa
75,Institucion Educativa Rural El Tambo,-75.59309,6.43104,San Pedro,,,,El Tambo,2013-06-04,Activa
76,I.E. Fontidueno,-75.53772,6.33407,Bello,Fontidueno,Comuna 10,,,2013-07-02,Activa
77,Torre SIATA - Disdrometro,-75.58870,6.25920,Medellin,Estadio,11 Laureles - Estadio,,,2013-04-03,Activa
78,Parque 3 Aguas - Disdrometro,-75.63536,6.09628,Caldas,,,,La Miel,2014-01-30,Activa
79,Subestacion Santa Rosa de Osos - Disdrometro,-75.45786,6.63889,Santa Rosa de Osos,Avenida crespo,,,,2015-07-16,Activa
80,Vivero EPM Piedras Blancas - Disdrometro,-75.49397,6.28328,Guarne,,,,Piedras Blancas,2013-07-23,Activa
81,Bomberos Guayabal,-75.58699,6.21526,Medellin,Campo Amor,15 Guayabal,,,2013-06-28,Activa
