,valor_observado,cod_estacion,fecha_observacion
132,19.045192307692307,27015290,2018-02-01
133,19.230720000000012,27015290,2018-03-01
134,18.3190277777778,27015290,2018-04-01
135,18.274865591397838,27015290,2018-05-01
136,19.177729257641914,27015290,2018-06-01
137,19.34632768361583,27015290,2018-07-01
138,19.59274193548385,27015290,2018-08-01
139,18.872083333333336,27015290,2018-09-01
140,18.265322580645154,27015290,2018-10-01
141,18.51138888888887,27015290,2018-11-01
142,19.006720430107528,27015290,2018-12-01
143,19.342473118279564,27015290,2019-01-01
144,19.427380952380947,27015290,2019-02-01
145,19.148252688172057,27015290,2019-03-01
146,19.04472222222223,27015290,2019-04-01
147,19.08413978494623,27015290,2019-05-01
148,19.92430555555554,27015290,2019-06-01
149,19.772812920592184,27015290,2019-07-01
150,20.534829059829033,27015290,2019-08-01
