,CodigoEstacion,Longitud,Latitud,Departamento,Municipio
165,2403500084,-72.79485,5.758019444,BOYACÁ,MONGUA
166,29065000,-74.50666667,10.51002778,MAGDALENA,PIVIJAI
167,15065180,-72.918,11.53,LA GUAJIRA,RIOHACHA
168,23190130,-72.97055556,7.196111111,SANTANDER,TONA
169,2401500086,-73.5522,5.4417,BOYACÁ,SAMACÁ
170,35105050,-72.95358333,4.468666667,META,BARRANCA DE UPÍA
171,26015030,-76.40354389,2.356848889,CAUCA,PURACÉ (COCONUCO)
172,29045150,-76.433,7.746,CÓRDOBA,TIERRALTA
173,25025190,-75.58372222,8.399333333,CORDOBA,PLANETA RICA
174,23065110,-74.35458333,5.484166667,CUNDINAMARCA,YACOPÍ
175,21205518,-74.016,5.171,CUNDINAMARCA,TAUSA
176,21205512,-74.079,4.469,BOGOTA,"BOGOTA, D.C"
177,35075070,-73.35038889,5.21925,BOYACÁ,CHINAVITA
178,51025080,-78.0925,1.248333333,NARIÑO,BARBACOAS
179,26155220,-75.51388889,5.048666667,CALDAS,VILLAMARIA
180,22045010,-75.50344444,3.722444444,TOLIMA,CHAPARRAL
181,24010390,-73.619,5.305,CUNDINAMARCA,LENGUAZAQUE
182,26155170,-75.43833333,5.032222222,CALDAS,MANIZALES
183,54050010,-76.917,4.717,CHOCÓ,ISTMINA
184,21195502,-74.428,4.145,CUNDINAMARCA,SAN BERNARDO
185,21205524,-74.057,5.075,CUNDINAMARCA,ZIPAQUIRÁ
186,26125061,-75.766,4.455,QUINDÍO,ARMENIA
187,42077020,-70.239,1.26,VAUPÉS,MITÚ
188,2401500080,-73.386469444,5.634380556,BOYACÁ,MOTAVITA
189,21205519,-74.272,4.452,CUNDINAMARCA,SIBATÉ
190,21205523,-74.05,4.788,BOGOTA,"BOGOTA, D.C"
191,11045010,-76.644,5.691,CHOCO,QUIBDÓ
192,21205525,-73.585,5.229,CUNDINAMARCA,VILLAPINZÓN
193,21205516,-73.852,5.173,CUNDINAMARCA,PACHO
194,11030010,-76.613,5.375,CHOCÓ,CÉRTEGUI
195,32105080,-72.647,2.553,GUAVIARE,SAN JOSÉ DEL GUAVIARE
196,24015506,-73.769,5.449,CUNDINAMARCA,FÚQUENE
197,51025090,-78.696,1.55,NARINO,TUMACO
198,35225030,-71.433,4.91,CASANARE,OROCUÉ
199,51035020,-78.73,1.819166667,NARIÑO,TUMACO
200,1117500060,-76.575833333,5.514722222,CHOCO,LLORÓ
201,57015010,-81.609,4.096,VALLE DEL CAUCA,BUENAVENTURA
202,21205526,-74.389,4.691,CUNDINAMARCA,TENA
203,11175000,-76.634,5.529,CHOCÓ,EL ATRATO
204,56015040,-77.764,7.104,CHOCÓ,JURADO
205,26125760,-75.635277778,4.481666667,QUINDÍO,CALARCÁ
206,21145080,-74.70294444,3.589777778,HUILA,COLOMBIA
207,24015504,-73.641,5.536,BOYACÁ,RÁQUIRA
208,16015501,-72.511,7.932,NORTE DE SANTANDER,CÚCUTA
209,23065507,-74.544,5.124,CUNDINAMARCA,QUEBRADANEGRA
210,21105030,-75.32225,2.521694444,HUILA,ALGECIRAS
211,24015513,-73.673,5.997,SANTANDER,VÉLEZ
212,5311500121,-76.56475,3.645194444,VALLE DEL CAUCA,LA CUMBRE
213,2401500040,-73.784541667,5.219558333,CUNDINAMARCA,CUCUNUBÁ
214,23180070,-73.48944444,7.39,SANTANDER,SABANA DE TORRES
215,21205503,-74.406,4.523,CUNDINAMARCA,EL COLEGIO
216,29045180,-74.82,11.039,ATLÁNTICO,BARRANQUILLA
217,23065160,-74.333,5.017,CUNDINAMARCA,LA VEGA
218,12015060,-76.66575,7.773944444,ANTIOQUIA,CAREPA
219,21206280,-74.33305556,4.653833333,CUNDINAMARCA,BOJACÁ
220,2403500083,-73.076847222,5.523033333,BOYACÁ,PESCA
221,26180180,-75.2945,5.71525,ANTIOQUIA,SONSÓN
222,35215030,-72.488,5.721,BOYACÁ,PISVA
223,52020070,-76.78288889,1.814166667,CAUCA,SAN SEBASTIÁN
224,21205791,-74.151,4.706,BOGOTA D.C.,"BOGOTA, D.C"
225,26180250,-75.31777778,5.35,CALDAS,SALAMINA
226,11120040,-77.115,7.439,CHOCÓ,RIOSUCIO
227,2702500107,-75.326019444,6.900555556,ANTIOQUIA,ANGOSTURA
228,2403500082,-73.251052778,5.506097222,BOYACÁ,SIACHOQUE
229,56010040,-77.266,5.708,CHOCÓ,NUQUÍ
230,37045010,-71.89055556,6.946388889,ARAUCA,SARAVENA
231,2604500134,-76.262083333,2.952388889,CAUCA,TORIBÍO
232,2120500050,-74.043444444,5.158861111,CUNDINAMARCA,COGUA
233,2612500038,-75.669555556,4.556333333,QUINDÍO,CIRCASIA
234,3206500059,-73.733611111,3.099722222,META,VISTAHERMOSA
235,21015030,-76.29497222,1.888472222,HUILA,SAN AGUSTÍN
236,2308500068,-75.275266667,6.133027778,ANTIOQUIA,SANTUARIO
237,2308500071,-75.509513889,6.060275,ANTIOQUIA,RETIRO
238,3505500061,-73.347111111,4.506638889,CUNDINAMARCA,MEDINA
239,2401500052,-73.726666667,5.796416667,SANTANDER,PUENTE NACIONAL
240,54010010,-76.689,5.159,CHOCÓ,ISTMINA
241,35235050,-72.167,5.819,CASANARE,TÁMARA
