;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
60;21201980;CERRO GUADALUPE - FOPAE;bogota;bogota;alto magdalena;4.567;-74.05;2010-05-07 19:00:00;2016-08-01 13:30:00;580.0;10.0;(478179, 3);48.4;5.2;13.703434278791912;3.7227415197774247;12.7
61;21105501;ALGECIRAS  - AUT;algeciras;huila;alto magdalena;2.595027778;-75.22852778;2016-06-15 14:30:00;2018-06-20 10:55:00;5.0;5.0;(98197, 3);31.4;14.2;20.436607878754245;2.6975436533985984;19.84258
62;2120000105;EL CODITO - AUT;bogota;bogota;alto magdalena;4.763;-74.022;2018-09-11 15:16:00;2020-02-28 10:46:00;1.0;1.0;(693954, 3);23.98;4.89;12.964127293738613;3.1330666075484768;12.11
63;21206790;HACIENDA SANTA ANA - AUT;nemocon;cundinamarca;alto magdalena;5.0905;-73.88125;2005-02-08 01:00:00;2021-06-16 04:00:00;60.0;1200.0;(111590, 3);47.5;0.0;13.124676046240786;4.86422438242119;12.9
64;35025110;LA LIBERTAD - AUT;villavicencio;meta;meta;4.057361111;-73.46791667;2009-10-18 01:00:00;2021-12-13 23:00:00;60.0;60.0;(62114, 3);38.1;0.0;25.276243680973973;4.955738738721247;24.5
65;21206780;LA INDEPENDENCIA FOPAE Fuera de Servicio;bogota;bogota;alto magdalena;4.617;-74.317;2012-01-01 00:05:00;2016-08-01 13:30:00;5.0;5.0;(316572, 3);26.2;8.9;16.479086590093736;2.215780530675776;16.1
66;21015050;PURACE  - AUT;san agustin;huila;alto magdalena;1.925916667;-76.42755556;2005-06-28 16:00:00;2021-08-17 20:00:00;60.0;60.0;(88491, 3);46.3;0.0;16.728437920240403;3.8527803464479438;15.8
67;27015320;ARAGON - AUT;santa rosa de osos;antioquia;nechi;6.781083333;-75.560888889;2005-05-11 14:00:00;2021-12-13 23:00:00;60.0;60.0;(124572, 3);28.5;0.0;12.927039784221233;3.7515802139863097;12.2
68;26085501;LA CELIA  - AUT;la celia;risaralda;cauca;5.001330556;-75.998;2016-06-15 16:20:00;2021-12-13 23:55:00;5.0;5.0;(403927, 3);33.86101;0.2064956;20.73910664602403;3.754708147012767;19.5
69;22045502;EL RUBY  - AUT;planadas;tolima;saldana;3.95;-75.66666667;2016-06-15 15:35:00;2021-12-13 23:55:00;5.0;5.0;(450892, 3);33.7594;13.4349;20.656065982519316;3.6178425226597604;19.333804999999998
70;2120000106;GRAN BRETAÑA - AUT;bogota;bogota;alto magdalena;4.512;-74.164;2018-09-11 15:16:00;2020-02-28 10:45:00;1.0;1.0;(682731, 3);20.67;0.052;10.522877897736903;2.544960890005662;9.97
71;26125504;PARAGUAICITO  - AUT;buenavista;quindio;cauca;4.395555556;-75.73416667;2016-06-16 08:30:00;2021-12-08 08:45:00;5.0;5.0;(459250, 3);36.41975;11.87965;22.11098929064787;4.223297004387406;20.5
72;2120700037;CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT;bogota;bogota;alto magdalena;4.556;-74.125;2018-09-11 15:16:00;2020-02-28 10:46:00;1.0;1.0;(680465, 3);26.04;0.063;14.576441218872024;2.8847759234262433;14.18
73;35095130;LAGUNA DE LA PLAZA;saravena;arauca;casanare;6.362;-72.282;2015-07-08 01:00:00;2021-12-13 23:00:00;60.0;60.0;(39895, 3);49.9;0.0;3.17690863516731;2.4278971142929513;2.8
