CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
23085270;APTO J.M CORDOVA TX GPRS;RIONEGRO;ANTIOQUIA;MEDIO MAGDALENA
2120000102;COLEGIO CARLOS PIZARRO - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26145507;LAS TANGAS  - AUT;BELALCAZAR;CALDAS;CAUCA
17035010;SERRANILLA;SAN ANDRÉS;SAN ANDRÉS PROVIDENCIA;ISLAS CARIBE
29004520;ESCUELA NAVAL BARRANQUILLA  - AUT;BARRANQUILLA;ATLANTICO;BAJO MAGDALENA
26185501;SONSON  - AUT;SONSÓN;ANTIOQUIA;CAUCA
26135501;EL PILAMO  - AUT;PEREIRA;RISARALDA;CAUCA
52055210;BOTANA - AUT;PASTO;NARIÑO;PATÍA
26155502;CENICAFE  - AUT;MANIZALES;CALDAS;CAUCA
21035501;ACEVEDO  - AUT;ACEVEDO;HUILA;ALTO MAGDALENA
29065120;BATALLON NO. 6 - AUT;FUNDACIÓN;MAGDALENA;BAJO MAGDALENA
21205507;CACHIPAY - CAR;CACHIPAY;CUNDINAMARCA;ALTO MAGDALENA
25025350;PUERTA ROJA - AUT;SINCELEJO;SUCRE;BAJO MAGDALENA- CAUCA -SAN JORGE
29015000;EL GUAMO - AUT;EL GUAMO;BOLIVAR;BAJO MAGDALENA
35085080;LA CAPILLA - AUT;LA CAPILLA;BOYACÁ;META
21215160;CERROS NOROCCIDENTALES  - AUT;IBAGUÉ;TOLIMA;ALTO MAGDALENA
21205012;UNIVERSIDAD NACIONAL  - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
26135300;PNN QUIMBAYA - AUT;PEREIRA;RISARALDA;CAUCA
52035501;EL SAUCE  - AUT;LA UNIÓN;NARIÑO;PATÍA
37015030;BERLIN - AUT;TONA;SANTANDER;ARAUCA
26105250;ZARAGOZA - AUT;CARTAGO;VALLE DEL CAUCA;CAUCA
24035390;PARAMO ALMORZADERO  - AUT;CERRITO;SANTANDER;SOGAMOSO
44035040;FLORENCIA - AUT;FLORENCIA;CAQUETA;CAQUETÁ
26125507;ARTURO GOMEZ  - AUT;ALCALÁ;VALLE DEL CAUCA;CAUCA
35025501;QUETAME  - AUT;QUETAME;CUNDINAMARCA;META
21195160;SUBIA;SILVANIA;CUNDINAMARCA;ALTO MAGDALENA
52025080;ESTRECHO PATIA  - AUT;PATÍA (EL BORDO);CAUCA;PATÍA
22025501;ATACO  - AUT;ATACO;TOLIMA;SALDAÑA
26105240;EL PLACER - AUT;BUGA;VALLE DEL CAUCA;CAUCA
24035360;SOCHA - AUT;SOCHA;BOYACÁ;SOGAMOSO
26175501;RAFAEL ESCOBAR  - AUT;SUPIA;CALDAS;CAUCA
21205791;APTO EL DORADO - TX GPRS;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
21237060;CORRALITOS PULI;PULÍ;CUNDINAMARCA;ALTO MAGDALENA
26135290;MARSELLA - AUT;MARSELLA;RISARALDA;CAUCA
26185050;SANTA BARBARA - AUT;SANTA BÁRBARA;ANTIOQUIA;CAUCA
27015330;APTO OLAYA HERRERA - TX GPRS;MEDELLÍN;ANTIOQUIA;NECHÍ
28025120;SERRANIA DEL PERIJA  - AUT;AGUSTÍN CODAZZI;CESAR;CESAR
35075090;MACHETA - CHIVOR;MACHETÁ;CUNDINAMARCA;META
29065130;LA GRAN VIA - AUT;ZONA BANANERA;MAGDALENA;BAJO MAGDALENA
15065501;LA MINA CERREJON  - AUT;ALBANIA;LA GUAJIRA;CARIBE - GUAJIRA
16015130;ALCALDIA DE HERRAN  - AUT;HERRÁN;NORTE DE SANTANDER;CATATUMBO
21255160;HACIENDA PAJONALES;AMBALEMA;TOLIMA;ALTO MAGDALENA
21205522;TABIO  - AUT;TABIO;CUNDINAMARCA;ALTO MAGDALENA
26195502;CIUDAD BOLIVAR  - AUT;CIUDAD BOLÍVAR;ANTIOQUIA;CAUCA
